EUROPEAN CLIMATE ASSESSMENT & DATASET (ECA&D), file created on: 11-07-2019
THESE DATA CAN BE USED FOR NON-COMMERCIAL RESEARCH AND EDUCATION PROVIDED THAT THE FOLLOWING SOURCE IS ACKNOWLEDGED: 

Klein Tank, A.M.G. and Coauthors, 2002. Daily dataset of 20th-century surface
air temperature and precipitation series for the European Climate Assessment.
Int. J. of Climatol., 22, 1441-1453.
Data and metadata available at http://www.ecad.eu

FILE FORMAT (MISSING VALUE CODE = -9999):

01-06 STAID: Station identifier
08-13 SOUID: Source identifier
15-22 DATE : Date YYYYMMDD
24-28 CC   : Cloud cover in oktas
30-34 Q_CC : quality code for CC (0='valid'; 1='suspect'; 9='missing')

This is the blended series of station DYCE, UNITED KINGDOM (STAID: 1825)
Blended and updated with sources:16435 903091 
See files sources.txt and stations.txt for more info.

STAID, SOUID,    DATE,   CC, Q_CC
  1825, 16435,19610313,    5,    0
  1825, 16435,19610314,    5,    0
  1825, 16435,19610315,    4,    0
  1825, 16435,19610316,    5,    0
  1825, 16435,19610317,    4,    0
  1825, 16435,19610318,    5,    0
  1825, 16435,19610319,    6,    0
  1825, 16435,19610320,    6,    0
  1825, 16435,19610321,    6,    0
  1825, 16435,19610322,    7,    0
  1825, 16435,19610323,    7,    0
  1825, 16435,19610324,    6,    0
  1825, 16435,19610325,    7,    0
  1825, 16435,19610326,    4,    0
  1825, 16435,19610327,    5,    0
  1825, 16435,19610328,    7,    0
  1825, 16435,19610329,    6,    0
  1825, 16435,19610330,    7,    0
  1825, 16435,19610331,    5,    0
  1825, 16435,19610401,    6,    0
  1825, 16435,19610402,    5,    0
  1825, 16435,19610403,    3,    0
  1825, 16435,19610404,    6,    0
  1825, 16435,19610405,    8,    0
  1825, 16435,19610406,    7,    0
  1825, 16435,19610407,    2,    0
  1825, 16435,19610408,    4,    0
  1825, 16435,19610409,    8,    0
  1825, 16435,19610410,    8,    0
  1825, 16435,19610411,    6,    0
  1825, 16435,19610412,    8,    0
  1825, 16435,19610413,    6,    0
  1825, 16435,19610414,    5,    0
  1825, 16435,19610415,    5,    0
  1825, 16435,19610416,    5,    0
  1825, 16435,19610417,    6,    0
  1825, 16435,19610418,    5,    0
  1825, 16435,19610419,    8,    0
  1825, 16435,19610420,-9999,    9
  1825, 16435,19610421,    5,    0
  1825, 16435,19610422,    6,    0
  1825, 16435,19610423,-9999,    9
  1825, 16435,19610424,    4,    0
  1825, 16435,19610425,    6,    0
  1825, 16435,19610426,    8,    0
  1825, 16435,19610427,    6,    0
  1825, 16435,19610428,    7,    0
  1825, 16435,19610429,    8,    0
  1825, 16435,19610430,    8,    0
  1825, 16435,19610501,    7,    0
  1825, 16435,19610502,    5,    0
  1825, 16435,19610503,    5,    0
  1825, 16435,19610504,    6,    0
  1825, 16435,19610505,    6,    0
  1825, 16435,19610506,    4,    0
  1825, 16435,19610507,    5,    0
  1825, 16435,19610508,    7,    0
  1825, 16435,19610509,    6,    0
  1825, 16435,19610510,    5,    0
  1825, 16435,19610511,    6,    0
  1825, 16435,19610512,    7,    0
  1825, 16435,19610513,    7,    0
  1825, 16435,19610514,    8,    0
  1825, 16435,19610515,    4,    0
  1825, 16435,19610516,    7,    0
  1825, 16435,19610517,    8,    0
  1825, 16435,19610518,    8,    0
  1825, 16435,19610519,    7,    0
  1825, 16435,19610520,    6,    0
  1825, 16435,19610521,    6,    0
  1825, 16435,19610522,    7,    0
  1825, 16435,19610523,    7,    0
  1825, 16435,19610524,    7,    0
  1825, 16435,19610525,    5,    0
  1825, 16435,19610526,    4,    0
  1825, 16435,19610527,    5,    0
  1825, 16435,19610528,    2,    0
  1825, 16435,19610529,    6,    0
  1825, 16435,19610530,    4,    0
  1825, 16435,19610531,    6,    0
  1825, 16435,19610601,    7,    0
  1825, 16435,19610602,    6,    0
  1825, 16435,19610603,    7,    0
  1825, 16435,19610604,    4,    0
  1825, 16435,19610605,    7,    0
  1825, 16435,19610606,    8,    0
  1825, 16435,19610607,    7,    0
  1825, 16435,19610608,    7,    0
  1825, 16435,19610609,    7,    0
  1825, 16435,19610610,    6,    0
  1825, 16435,19610611,    7,    0
  1825, 16435,19610612,    6,    0
  1825, 16435,19610613,    5,    0
  1825, 16435,19610614,    4,    0
  1825, 16435,19610615,    6,    0
  1825, 16435,19610616,    8,    0
  1825, 16435,19610617,    6,    0
  1825, 16435,19610618,    3,    0
  1825, 16435,19610619,    3,    0
